Date,Open,High,Low,Close,Volume
2006-01-04,264.97,303.63,264.97,289.45,13493309
2006-01-04,264.97,303.63,264.97,289.45,13493309
2006-01-05,291.46,293.92,275.03,277.33,2561756
2006-01-05,291.46,293.92,275.03,277.33,2561756
2006-01-06,277.63,278.56,266,270.32,1458627
2006-01-06,277.63,278.56,266,270.32,1458627
2006-01-09,270.07,277.14,267.47,274.78,768134
2006-01-09,270.07,277.14,267.47,274.78,768134
2006-01-10,275.86,284.59,273.06,274.88,703707
2006-01-10,275.86,284.59,273.06,274.88,703707
2006-01-12,268.89,280.18,268.89,273.8,314842
2006-01-12,268.89,280.18,268.89,273.8,314842
2006-01-13,274.78,279.79,266.93,269.19,243554
2006-01-13,274.78,279.79,266.93,269.19,243554
2006-01-16,268.5,275.57,266,268.25,215211
2006-01-16,268.5,275.57,266,268.25,215211
2006-01-17,269.78,271.74,259.23,260.35,145047
2006-01-17,269.78,271.74,259.23,260.35,145047
2006-01-18,257.12,264.97,251.23,259.72,124609
2006-01-18,257.12,264.97,251.23,259.72,124609
2006-01-19,264.77,267.72,260.21,266.14,107393
2006-01-19,264.77,267.72,260.21,266.14,107393
2006-01-20,269.78,278.61,264.97,267.47,289170
2006-01-20,269.78,278.61,264.97,267.47,289170
2006-01-23,266.93,283.56,265.11,279.15,398111
2006-01-23,266.93,283.56,265.11,279.15,398111
2006-01-24,278.51,297.35,276.99,285.92,916628
2006-01-24,278.51,297.35,276.99,285.92,916628
2006-01-25,289.3,294.31,283.61,291.71,355035
2006-01-25,289.3,294.31,283.61,291.71,355035
2006-01-27,295.39,302.16,283.61,286.51,617562
2006-01-27,295.39,302.16,283.61,286.51,617562
2006-01-30,289.5,290.48,276.74,281.9,108904
2006-01-30,289.5,290.48,276.74,281.9,108904
2006-01-31,284.01,288.47,270.32,275.52,330461
2006-01-31,284.01,288.47,270.32,275.52,330461
2006-02-01,276.74,278.71,260.06,261.92,117315
2006-02-01,276.74,278.71,260.06,261.92,117315
2006-02-02,264.77,268.21,246.57,251.18,216043
2006-02-02,264.77,268.21,246.57,251.18,216043
2006-02-03,256.04,256.04,247.79,250.44,79298
2006-02-03,256.04,256.04,247.79,250.44,79298
2006-02-06,247.4,260.06,247.4,253.83,84284
2006-02-06,247.4,260.06,247.4,253.83,84284
2006-02-07,254.42,258.2,252.21,256.33,48348
2006-02-07,254.42,258.2,252.21,256.33,48348
2006-02-08,255.25,262.91,250.74,261.04,146156
2006-02-08,255.25,262.91,250.74,261.04,146156
2006-02-10,264.97,272.82,261.53,265.02,84881
2006-02-10,264.97,272.82,261.53,265.02,84881
2006-02-13,270.36,288.91,262.51,283.07,340673
2006-02-13,270.36,288.91,262.51,283.07,340673
2006-02-14,287.54,294.31,261.83,286.7,306916
2006-02-14,287.54,294.31,261.83,286.7,306916
2006-02-15,289.5,289.5,276.84,283.91,88156
2006-02-15,289.5,289.5,276.84,283.91,88156
2006-02-16,268.01,286.07,268.01,281.11,59220
2006-02-16,268.01,286.07,268.01,281.11,59220
2006-02-17,283.61,300.54,274.88,294.41,743599
2006-02-17,283.61,300.54,274.88,294.41,743599
2006-02-20,297.35,298.14,278.76,287.15,297556
2006-02-20,297.35,298.14,278.76,287.15,297556
2006-02-21,287.54,290.48,282.63,286.85,112083
2006-02-21,287.54,290.48,282.63,286.85,112083
2006-02-22,289.3,294.26,275.22,279.39,217230
2006-02-22,289.3,294.26,275.22,279.39,217230
2006-02-23,282.09,282.63,270.02,275.81,104359
2006-02-23,282.09,282.63,270.02,275.81,104359
2006-02-24,278.46,283.61,274.78,279.93,80911
2006-02-24,278.46,283.61,274.78,279.93,80911
2006-02-27,274.88,285.58,274.88,283.56,35942
2006-02-27,274.88,285.58,274.88,283.56,35942
2006-02-28,284.5,284.5,272.82,274.24,71307
2006-02-28,284.5,284.5,272.82,274.24,71307
2006-03-01,278.46,279.15,275.76,277.28,43140
2006-03-01,278.46,279.15,275.76,277.28,43140
2006-03-02,281.55,282.63,276.74,279.83,72225
2006-03-02,281.55,282.63,276.74,279.83,72225
2006-03-03,284.3,284.3,276.74,278.41,20398
2006-03-03,284.3,284.3,276.74,278.41,20398
2006-03-06,282.58,282.58,274.78,279.64,61762
2006-03-06,282.58,282.58,274.78,279.64,61762
2006-03-07,281.45,291.27,277.97,284.64,58737
2006-03-07,281.45,291.27,277.97,284.64,58737
2006-03-08,283.61,286.56,275.03,279.1,36270
2006-03-08,283.61,286.56,275.03,279.1,36270
2006-03-09,281.45,281.65,271.98,279.3,32276
2006-03-09,281.45,281.65,271.98,279.3,32276
2006-03-10,280.67,283.51,278.9,281.8,19464
2006-03-10,280.67,283.51,278.9,281.8,19464
2006-03-13,282.63,283.42,274.78,275.86,7846
2006-03-13,282.63,283.42,274.78,275.86,7846
2006-03-14,274.78,296.27,274.78,285.04,82441
2006-03-14,274.78,296.27,274.78,285.04,82441
2006-03-16,289.5,289.5,280.28,283.71,17461
2006-03-16,289.5,289.5,280.28,283.71,17461
2006-03-17,289.5,289.5,280.67,285.09,24815
2006-03-17,289.5,289.5,280.67,285.09,24815
2006-03-20,289.4,289.4,281.85,285.09,25742
2006-03-20,289.4,289.4,281.85,285.09,25742
2006-03-21,289.4,292.84,283.61,285.43,34198
2006-03-21,289.4,292.84,283.61,285.43,34198
2006-03-22,284.59,291.37,282.73,286.46,28552
2006-03-22,284.59,291.37,282.73,286.46,28552
2006-03-23,285.09,288.52,282.68,284.59,10107
2006-03-23,285.09,288.52,282.68,284.59,10107
2006-03-24,284.59,287.54,283.61,284.59,13885
2006-03-24,284.59,287.54,283.61,284.59,13885
2006-03-27,280.87,293.43,280.87,286.36,22206
2006-03-27,280.87,293.43,280.87,286.36,22206
2006-03-28,287.49,289.5,274.78,278.76,23174
2006-03-28,287.49,289.5,274.78,278.76,23174
2006-03-29,280.67,289.5,277.77,282.88,18238
2006-03-29,280.67,289.5,277.77,282.88,18238
2006-03-30,285.48,289.5,280.77,287.69,15691
2006-03-30,285.48,289.5,280.77,287.69,15691
2006-03-31,292.45,337.98,287.54,302.36,304089
2006-03-31,292.45,337.98,287.54,302.36,304089
2006-04-03,306.18,327.68,303.24,321.98,250987
2006-04-03,306.18,327.68,303.24,321.98,250987
2006-04-04,325.81,329.05,305.4,309.03,103293
2006-04-04,325.81,329.05,305.4,309.03,103293
2006-04-05,311.78,319.92,308.44,311.04,48621
2006-04-05,311.78,319.92,308.44,311.04,48621
2006-04-07,310.7,325.66,310.6,319.63,108001
2006-04-07,310.7,325.66,310.6,319.63,108001
2006-04-10,318.94,324.83,307.17,309.08,65148
2006-04-10,318.94,324.83,307.17,309.08,65148
2006-04-12,312.86,328.76,300.59,303.83,88102
2006-04-12,312.86,328.76,300.59,303.83,88102
2006-04-13,303.24,312.07,297.35,308.39,60604
2006-04-13,303.24,312.07,297.35,308.39,60604
2006-04-17,313,318.94,302.26,308.15,98372
2006-04-17,313,318.94,302.26,308.15,98372
2006-04-18,308.1,312.76,307.17,309.32,29556
2006-04-18,308.1,312.76,307.17,309.32,29556
2006-04-19,311.97,312.07,297.35,300.3,31260
2006-04-19,311.97,312.07,297.35,300.3,31260
2006-04-20,300.3,311.09,299.51,309.03,25380
2006-04-20,300.3,311.09,299.51,309.03,25380
2006-04-21,316,316,303.24,304.81,8695
2006-04-21,316,316,303.24,304.81,8695
2006-04-24,317.47,323.8,301.28,304.27,17854
2006-04-24,317.47,323.8,301.28,304.27,17854
2006-04-25,313.05,314.04,302.75,304.22,31534
2006-04-25,313.05,314.04,302.75,304.22,31534
2006-04-26,309.03,309.03,299.31,303.09,10731
2006-04-26,309.03,309.03,299.31,303.09,10731
2006-04-27,305.2,318.6,299.46,315.7,43571
2006-04-27,305.2,318.6,299.46,315.7,43571
2006-04-28,297.7,315.02,285.92,312.22,10870
2006-04-28,297.7,315.02,285.92,312.22,10870
2006-04-29,312.07,318.94,304.52,314.18,8513
2006-04-29,312.07,318.94,304.52,314.18,8513
2006-05-02,321.69,321.69,306.18,314.23,13748
2006-05-02,321.69,321.69,306.18,314.23,13748
2006-05-03,314.23,318.84,310.11,314.33,10626
2006-05-03,314.23,318.84,310.11,314.33,10626
2006-05-04,314.04,317.76,310.36,314.13,6610
2006-05-04,314.04,317.76,310.36,314.13,6610
2006-05-05,314.04,317.96,311.39,314.18,52924
2006-05-05,314.04,317.96,311.39,314.18,52924
2006-05-08,315.26,316,306.18,314.18,31400
2006-05-08,315.26,316,306.18,314.18,31400
2006-05-09,314.04,317.91,308.15,308.44,10123
2006-05-09,314.04,317.91,308.15,308.44,10123
2006-05-10,310.11,313.05,308.15,310.16,3603
2006-05-10,310.11,313.05,308.15,310.16,3603
2006-05-11,318.94,318.94,294.46,299.61,9737
2006-05-11,318.94,318.94,294.46,299.61,9737
