Date,Open,High,Low,Close,Volume
2022-08-02,162.8,162.8,157,157.05,25600
2022-08-03,157,157,150,152.6,20800
2022-08-04,152.6,153.85,150,150,17600
2022-08-05,150,153.9,149.1,150,17600
2022-08-08,152,170,152,162.2,137600
2022-08-10,163,167.95,159.15,165.95,88000
2022-08-11,166,170,158.5,160,51200
2022-08-12,162.95,171,162.95,167.7,123200
2022-08-16,166,171.65,151,154.35,120000
2022-08-17,154,162.95,153,160.85,32000
2022-08-18,160.05,163.6,158,159.9,30400
2022-08-19,162.95,169.9,160,163.4,80000
2022-08-22,163,164.95,160,162.75,32000
2022-08-23,164.95,169,164.95,166.25,35200
2022-08-24,169,169,165.5,165.75,19200
2022-08-25,165.25,167.5,164.5,164.5,14400
2022-08-26,164.55,164.55,159,159.05,24000
2022-08-29,157,163.95,148.2,162.75,28800
2022-08-30,163.5,172,161.25,168.9,80000
2022-09-01,170.55,178,170.55,175.8,99200
2022-09-02,182,194.6,176,190.5,297600
2022-09-05,197,197,189.1,189.95,73600
2022-09-06,190,190,178,181.75,54400
2022-09-07,184,185.75,178,178.75,40000
2022-09-08,183,184,179.95,180.2,48000
2022-09-09,184,185.4,180,182,25600
2022-09-12,187,189,184,187.65,46400
2022-09-13,187.65,187.65,183,183,9600
2022-09-14,181,187,181,184.25,24000
2022-09-15,185,185.05,181,182.5,30400
2022-09-16,182.5,182.5,176,178.4,33600
2022-09-19,178,178,175,175,12800
2022-09-20,178,183,177,183,17600
2022-09-21,178.35,178.5,176,177,16000
2022-09-22,178.05,179,178,178,14400
2022-09-23,182,182,175,175.85,22400
2022-09-26,172.05,172.05,169,171,20800
2022-09-27,172,172,166,169,19200
2022-09-28,166,166,158.15,158.5,20800
2022-09-29,163,166,157,158.45,30400
2022-09-30,160,166,160,161.6,27200
2022-10-03,158.25,160.9,157,159.95,20800
2022-10-04,160,161,158.6,160.35,20800
2022-10-06,158.65,164.95,158.65,160.7,41600
2022-10-07,162.7,169,161.5,167.55,73600
2022-10-10,172,178.95,172,174,84800
2022-10-11,181,185,174,182.7,105600
2022-10-12,188,189,177,178.55,59200
2022-10-13,178,181,172,174.15,44800
2022-10-14,178,178,173.5,176.75,38400
2022-10-17,178,185,178,182.95,108800
2022-10-18,184,186.9,177,177.95,52800
2022-10-19,177.95,178,173.1,176,32000
2022-10-20,176,178.3,175.1,176.95,16000
2022-10-21,175.15,182.75,175.1,178.1,36800
2022-10-24,182,182.9,177.7,180.3,14400
2022-10-25,178,178.05,175,175,11200
2022-10-27,175,175,169.2,169.2,19200
2022-10-28,169.2,170.5,166.25,167.9,16000
2022-10-31,155.3,174.95,155.3,171.7,54400
2022-11-01,171.7,171.7,168.4,171,112000
2022-11-02,171.95,174.3,168,169,12800
2022-11-03,166.05,169,165.1,168,16000
2022-11-04,166,166.5,163,166,25600
2022-11-07,168.3,168.5,167,167.75,11200
2022-11-09,168.95,170.95,166,167.8,20800
2022-11-10,167.5,167.8,165,166.1,12800
2022-11-11,169,174,168,172.45,62400
2022-11-14,166.1,166.1,145,152,179200
2022-11-15,156,156,149,151.5,27200
2022-11-16,152.1,153,149.55,150.1,16000
2022-11-17,149,152.8,148.5,149.7,14400
2022-11-18,150,150,148,148,9600
2022-11-21,149.8,150,146.2,146.9,20800
2022-11-22,150.7,150.7,147.5,148.35,14400
2022-11-23,147,148.9,146.1,148.5,12800
2022-11-24,146,146.9,142.5,143.95,33600
2022-11-25,144,144.05,144,144,11200
2022-11-28,142.2,143,140.1,142.2,17600
2022-11-29,142,142,141,141.35,11200
2022-11-30,142,149.5,142,149.5,19200
2022-12-01,149,149,145.65,148.45,11200
2022-12-02,146,146,142.6,143,11200
2022-12-05,148.9,149,147,148.65,12800
2022-12-07,147.9,151,144.25,150.5,36800
2022-12-08,150,151,148,151,14400
2022-12-09,150.05,151,150,150.1,17600
2022-12-12,151,151,150,150,17600
2022-12-13,150.05,152,150,151.9,9600
2022-12-14,150,152.8,150,150.9,8000
2022-12-15,150.05,153.6,150,150,9600
2022-12-16,148,152.95,148,148,17600
2022-12-19,146,146,142.7,143.5,17600
2022-12-20,144,146,144,146,3200
2022-12-21,142.15,143.45,138,139,41600
2022-12-22,140,140,136.4,138.35,16000
2022-12-23,138.75,138.75,135,135,8000
2022-12-26,137.75,142,135,139.05,33600
2022-12-27,139,139,137.65,137.7,8000
2022-12-28,137.6,139,137,139,9600
2022-12-29,137,139.95,137,139.95,19200
2022-12-30,142,148,142,145,17600
2023-01-02,145,145,145,145,4800
2023-01-03,142.1,143,142.1,142.1,6400
2023-01-04,147.5,147.5,140,140,20800
2023-01-05,143,143,140,140.4,9600
2023-01-06,142.6,144.5,139,140,19200
2023-01-09,138,140.8,137.55,140.8,4800
2023-01-10,140.6,141.75,140,140,8000
2023-01-11,140,140,139,139,9600
2023-01-12,138.5,138.5,138,138,3200
2023-01-13,140,140,137.55,139.95,8000
2023-01-16,137.2,141.2,137.1,139.9,12800
2023-01-17,141.8,141.95,139.5,139.5,4800
2023-01-18,140,141.7,138.15,141,12800
2023-01-19,141,141.5,141,141.5,6400
2023-01-20,141.5,144.9,141.5,144,6400
2023-01-23,144,144,139.5,139.5,6400
2023-01-24,139,139,138.5,138.5,3200
2023-01-25,138.5,138.5,137.2,137.2,6400
2023-01-27,136.5,138,135,136.75,17600
2023-01-30,140,140,136,136,9600
2023-01-31,134,138,134,135,9600
2023-02-01,138,139,132,132,19200
2023-02-02,132.7,132.7,127,129.65,17600
2023-02-03,130,130,123,127,27200
2023-02-06,124.15,126.9,118.1,119.65,35200
2023-02-07,121,127,120.95,124,19200
2023-02-08,124,125,124,125,4800
2023-02-09,127,127,127,127,1600
2023-02-10,130,130,130,130,3200
2023-02-13,133,134.9,131,133.9,20800
2023-02-14,132.8,132.8,127,127.75,16000
2023-02-15,128,128,124,124,9600
2023-02-16,120,126.95,120,126.95,20800
2023-02-17,122.55,125,122.5,124.65,11200
2023-02-20,127,129,121.2,126.1,11200
2023-02-21,124.5,124.5,124.5,124.5,1600
2023-02-22,124.5,124.5,120,120.1,17600
2023-02-23,120,120.1,118,118,16000
2023-02-24,120,121,116.9,120.5,19200
2023-02-27,123,123,108,114.35,64000
2023-02-28,114.5,118,114.5,118,12800
2023-03-01,120,121,119.05,120.5,12800
2023-03-02,118.25,122,118.25,122,8000
2023-03-03,120.05,123,120.05,122.5,19200
2023-03-06,120.1,121,117.05,120.8,35200
2023-03-08,120,120,119,119,9600
2023-03-09,118.1,120.1,118,118,11200
2023-03-10,118,120,116.55,117.75,30400
2023-03-13,117.75,117.75,114.4,114.95,24000
2023-03-14,116,116,100.2,105.05,57600
2023-03-15,102.15,109,102.15,103.8,105600
2023-03-16,101.1,105.4,101.1,103.8,51200
2023-03-17,103.8,103.8,102.1,103.6,17600
2023-03-20,110.5,115,109.95,113.85,33600
2023-03-21,103.5,123.85,103.5,121.55,67200
2023-03-22,111.05,118.35,111.05,116.85,41600
2023-03-23,116.05,117,114.6,114.6,40000
2023-03-24,114,115.5,112.5,112.95,60800
2023-03-27,113,113,107.1,109.95,179200
2023-03-28,120,120,102,102.3,161600
2023-03-29,104,104,100.1,101.4,214400
2023-03-31,98.6,109,98.6,107.35,72000
2023-04-03,111.95,113,110.2,110.2,8000
2023-04-05,113.95,116.9,113.95,116.1,20800
2023-04-06,118,126.3,118,123.75,89600
2023-04-10,124,125,121,121,11200
2023-04-11,123.9,125,120,121.5,28800
2023-04-12,120.1,120.1,120,120,19200
2023-04-13,124,124,122,122.95,17600
2023-04-17,123,123,118,121,11200
2023-04-18,120,120,120,120,1600
2023-04-19,122,122,120,121.35,16000
2023-04-20,124,135.9,124,132.1,54400
2023-04-21,134,139,134,136.85,107200
2023-04-24,141,141,133,134,16000
2023-04-25,136,138,133,133,22400
2023-04-26,136,136,133,133,11200
2023-04-27,135,135,130,134.45,12800
2023-04-28,128.55,132,128.55,131.5,11200
2023-05-02,133,133,125,126.15,27200
2023-05-03,125.1,132.7,125.1,132.7,22400
2023-05-04,129,129,126.5,127.8,24000
2023-05-05,130,130,124,124,16000
2023-05-08,123.55,123.55,123.55,123.55,6400
2023-05-09,123.95,126.75,123.95,126.75,9600
2023-05-10,127.25,129.95,126.1,126.1,8000
2023-05-11,126.5,126.5,119,121.65,84800
2023-05-12,119.1,124,119.1,121.35,36800
2023-05-15,121,121,118.75,119,17600
2023-05-16,120.05,120.05,119,119,8000
2023-05-17,118,118.95,117.2,118.95,12800
2023-05-18,115.05,115.05,110,113.05,76800
2023-05-19,115,115,115,115,3200
2023-05-22,112.05,113.25,110.1,113.1,25600
2023-05-23,115,120,115,117,27200
2023-05-24,116.9,120,116.9,120,8000
2023-05-25,118.25,118.5,115.1,115.1,49600
2023-05-26,116.05,116.05,116.05,116.05,1600
2023-05-29,115,116.9,115,116.9,19200
2023-05-30,116.9,116.9,115.05,115.9,6400
2023-05-31,113.3,114.1,110.1,112,35200
2023-06-01,114.95,117,114.95,116,17600
2023-06-02,116.45,116.45,112.65,112.65,17600
2023-06-05,112.65,113.6,112,113.6,14400
2023-06-06,115,116,112.45,113,16000
2023-06-07,116.8,116.8,112.4,113.85,16000
2023-06-08,112.05,115,112.05,112.9,16000
2023-06-09,112,112,110.3,111.1,8000
2023-06-12,112.85,114,112.3,112.85,9600
2023-06-13,114.9,115.75,113.05,114.95,17600
2023-06-14,113.55,115.95,112.1,113,32000
2023-06-15,114.8,114.8,113,113,6400
2023-06-16,113,113,112,112.5,16000
2023-06-19,115,115,112.5,112.85,16000
2023-06-20,114,129.95,113.8,128,142400
2023-06-21,128,136.7,128,129.2,83200
2023-06-22,130,131.95,126,126.25,35200
2023-06-23,132,132,122.5,122.9,33600
2023-06-26,121,121,121,121,1600
2023-06-27,120,123.3,120,123.3,3200
2023-06-28,121,121,118.1,120.5,30400
2023-06-30,121.5,121.55,121.5,121.5,4800
2023-07-03,121.55,127,121.55,124,16000
2023-07-04,123,123,121,121,11200
2023-07-05,123,123,120,120,4800
2023-07-06,121,123.8,118.5,118.5,12800
2023-07-07,118.6,121,118.1,120.2,19200
2023-07-10,120,120,119.5,119.5,3200
2023-07-11,119,120,117.6,117.6,9600
2023-07-12,120.6,125.9,120,123.2,25600
2023-07-13,122.5,122.5,122.5,122.5,1600
2023-07-14,122.6,122.6,118.2,118.2,12800
2023-07-17,122,127,122,123.25,28800
2023-07-18,121,121,120,120,6400
2023-07-19,120.2,122.4,120.2,122.35,11200
2023-07-20,120.25,122.4,118.3,119.1,8000
2023-07-21,119.1,119.95,118.75,119.95,9600
2023-07-24,118.1,123.3,118.1,120.25,12800
2023-07-25,122,122.2,120.6,120.85,8000
2023-07-26,120.15,122,120,120,9600
2023-07-27,122,122,119.25,119.9,8000
2023-07-28,119.9,119.9,119,119.1,19200
2023-07-31,118.35,120,116.4,117.5,11200
2023-08-01,116.8,118.9,116.25,117.7,12800
2023-08-02,117.05,117.9,115.1,116.7,30400
2023-08-03,116.8,116.8,116.7,116.7,6400
2023-08-04,116.05,118.45,116,117.35,11200
2023-08-07,117.3,120,117.3,119,16000
2023-08-08,118,119.8,116.8,116.8,12800
2023-08-09,116.8,119,115,116.85,11200
2023-08-10,115.25,119.95,115.25,119.95,16000
2023-08-11,116.55,125.95,116.55,123.65,59200
2023-08-14,121,144,121,140.1,153600
2023-08-16,142,147,139.1,145.9,75200
2023-08-17,146,149.95,142,142.7,40000
2023-08-18,140.15,144.5,137.05,138.9,20800
2023-08-21,136,138.5,135,136.85,48000
2023-08-22,136,148.95,135,147.75,96000
2023-08-23,148.8,151,146,147.15,75200
2023-08-24,150,153.35,148.1,149.55,52800
2023-08-25,148.1,149.9,146.5,148.45,28800
2023-08-28,147.5,150,146,146,33600
2023-08-29,148.25,149,146,146,16000
2023-08-30,147.95,156.25,145.1,155.3,81600
2023-08-31,157,157,152.5,155,41600
2023-09-01,155,158.8,155,155,86400
2023-09-04,155.4,155.4,151,152.95,56000
2023-09-05,153.9,157.95,153.9,154,11200
2023-09-06,154,155.8,153.1,154,11200
2023-09-07,154,155.3,151,151,17600
2023-09-08,151,151,148,149.9,12800
2023-09-11,150.4,151.6,150.4,151,14400
2023-09-12,148.2,148.2,137,138.75,80000
2023-09-13,139,140,137.8,140,4800
2023-09-15,142,142,139,139.95,16000
2023-09-18,139.45,139.45,137.6,137.6,3200
2023-09-20,136.3,136.5,136,136.5,8000
2023-09-21,140,140,136.5,138,6400
2023-09-22,135.4,137,135,137,9600
2023-09-25,139,139,133.3,134.3,8000
2023-09-26,133,133,127,127,14400
2023-09-27,127,129,124.55,129,6400
2023-09-28,129,129,129,129,1600
2023-09-29,125.7,130,125.7,130,8000
2023-10-03,128,131,127.6,131,12800
2023-10-04,130.5,132.95,130,130.85,11200
2023-10-05,134,134,130.75,130.75,4800
2023-10-06,133,135.8,128.2,132.05,41600
2023-10-09,131.45,131.45,130,130,4800
2023-10-10,133,137,133,133.5,22400
2023-10-11,136,140,136,139,20800
2023-10-12,138.1,141.8,138.05,140,8000
2023-10-13,142,160,142,155.1,60800
2023-10-16,155,160,152,152,24000
2023-10-17,152,152,151,151,4800
2023-10-18,148.5,148.5,142,146.1,24000
2023-10-19,145,147,144,147,8000
2023-10-20,146.9,146.9,143.25,143.25,8000
2023-10-23,144,144,133,134.5,24000
2023-10-25,133,135.75,132.15,133.95,11200
2023-10-26,130,130,127,130,8000
2023-10-27,133,135.8,131.05,135.8,9600
2023-10-30,141.95,141.95,134.6,137,10400
2023-10-31,138.7,138.7,117,133.2,23200
2023-11-01,134.5,140,134.5,136,40800
2023-11-02,133,138.9,133,134.6,10400
2023-11-03,139,140.8,139,140.8,3200
2023-11-06,139,141.8,138.15,140.8,5600
2023-11-07,147,147,140.1,142,12000
2023-11-08,139.1,139.1,128,135.9,12000
2023-11-09,120.1,129,120.1,125.5,128800
2023-11-10,125,126.5,122.05,125.5,28000
2023-11-12,125,125,123.5,123.5,4000
2023-11-13,123.5,123.5,118.75,119.4,15200
2023-11-15,125.4,126.5,121,123.1,25600
2023-11-16,124,128.35,124,125.1,16000
2023-11-17,126.95,126.95,124.35,124.8,8800
2023-11-20,124,124,124,124,3200
2023-11-21,124,124,121,124,15200
2023-11-22,124,125,123.25,123.25,10400
2023-11-23,121,147.9,120,146.7,209600
2023-11-24,147.9,153,140.5,149,105600
2023-11-28,149.9,149.9,140,142.75,34400
2023-11-29,142.75,146.8,140.5,141.85,17600
2023-11-30,143,143,137,137.85,14400
2023-12-01,138,139.4,136.05,136.15,8800
2023-12-04,137.05,142,137,140.5,13600
2023-12-05,137.05,139,136.1,139,14400
2023-12-06,139,139,136,136.65,9600
2023-12-07,134.55,137.8,134.55,137,16800
2023-12-08,139,140,134,135.6,36800
2023-12-11,140.7,140.7,135,135.55,10400
2023-12-12,134.55,136,131.05,135.5,9600
2023-12-13,133.5,133.5,130,130.1,10400
2023-12-14,130.2,133,127.1,128.5,35200
2023-12-15,128.45,142.8,128,141.15,46400
2023-12-18,142,145,139.5,140,36000
2023-12-19,139,139,136.1,136.6,6400
2023-12-20,139.25,141,129.95,130.6,27200
2023-12-21,133.05,134.4,131.05,132.15,10400
2023-12-22,134,136,130.55,133.85,20000
2023-12-26,131.9,134.7,131.9,134.7,1600
2023-12-27,136,140,134.3,136,10400
2023-12-28,133.5,141.7,133.5,136.5,27200
2023-12-29,136,138.8,134,134,11200
2024-01-01,130.5,138.75,130.5,133.75,25600
2024-01-02,132.6,134,131.5,132,17600
2024-01-03,131.05,135.75,130.5,132.05,18400
2024-01-04,131,135.85,131,134.5,12800
2024-01-05,135,139,133,135,21600
2024-01-08,135.65,145.95,135.65,141.35,68000
2024-01-09,142.9,144,142,143,20800
2024-01-10,143,146,140.15,144.65,39200
2024-01-11,145,153.95,144,147.35,36000
2024-01-12,151,151,145,145,16800
2024-01-15,147.9,159,145.5,156.75,113600
2024-01-16,160,162.85,151,151.15,58400
2024-01-17,148,148.55,143,144.45,16000
2024-01-18,142,150,141.5,148.65,20000
2024-01-19,151,178.35,151,169.15,272000
2024-01-20,170,173,162.1,163.9,83200
2024-01-23,160,165,151.5,155.75,54400
2024-01-24,160,160,155,158.2,41600
2024-01-25,159,164,154,156.05,37600
2024-01-29,160,160,151,151.7,29600
2024-01-30,150,155,150,155,19200
2024-01-31,152.5,154.5,147.1,147.8,23200
2024-02-01,148,151,147.5,148.05,24000
2024-02-02,150,150,144,144.6,36000
2024-02-05,148.25,148.25,140.2,143.25,33600
2024-02-06,143.25,145.2,141.6,143.35,8000
2024-02-07,140.2,144.95,140.2,142.65,17600
2024-02-08,141.5,147,141.5,142.3,11200
2024-02-09,141,141,137,139.95,14400
2024-02-12,141.95,142.6,135,136.95,41600
2024-02-13,136,137.5,134,134,8800
2024-02-14,133.1,139,133,139,6400
2024-02-15,134.25,140,133.15,138.75,14400
2024-02-16,135,139.05,133,139,25600
2024-02-19,136.5,141.8,136.5,139.75,23200
2024-02-20,136.6,143,136.6,140.05,8000
2024-02-21,139,139,136,137,16800
2024-02-22,130,138,130,135,24800
2024-02-23,125.25,138.95,125.25,135,10400
2024-02-26,134.75,137.9,133,134,14400
2024-02-27,128,145,128,137.2,180800
2024-02-28,139,139,136,136,11200
2024-02-29,132.1,138.7,132.1,137,14400
2024-03-01,139,140.05,139,140.05,5600
2024-03-02,134,139.2,134,139.2,12000
2024-03-04,136,164.8,134.2,148.1,192000
2024-03-05,146.75,147,135,135.6,51200
2024-03-06,136,136,126,130.1,80800
2024-03-07,131.5,134.65,127.2,128.7,36800
2024-03-11,128.25,128.25,124,124.35,18400
2024-03-12,120.1,123.95,116.55,118.75,85600
2024-03-13,119,120.5,112,117.3,132000
2024-03-14,119.9,130,119,123.5,66400
2024-03-15,125,129.95,121,125.8,19200
2024-03-18,124,130,123,129,10400
2024-03-19,132.5,135,127.25,134.1,29600
2024-03-20,135.1,138.9,130.75,136.45,54400
2024-03-21,131.5,138.95,131.5,136.35,20800
2024-03-22,133.5,135.7,133.25,135.4,34400
2024-03-26,135,135.4,126,127.15,14400
2024-03-27,130,130.95,126.25,127.35,25600
2024-03-28,128.1,136.85,128.1,136,60800
2024-04-01,136,141.9,136,137.45,14400
2024-04-02,132.5,138,132.5,137.7,6400
2024-04-03,138,141,134.1,140.1,26400
2024-04-04,142,144,139.5,141.5,12000
2024-04-05,139.25,142.25,139.25,140.7,4800
2024-04-08,139,139,136,139,10400
2024-04-10,136.15,138.6,136.1,136.1,8000
2024-04-12,136.1,136.5,133,133.5,9600
2024-04-15,130,130,129,130,3200
2024-04-16,130,132,127,127.8,20800
2024-04-18,130,133,127,127.4,11200
2024-04-19,124,129.9,124,127,12000
2024-04-22,132.8,132.8,128,129.25,21600
2024-04-23,130,130,129,129.5,8800
2024-04-24,130.1,130.1,129,130,80800
2024-04-25,132.5,132.5,129,130.25,12800
2024-04-26,131,137,128,134.5,17600
2024-04-29,136.95,136.95,131.25,131.25,6400
2024-04-30,134.95,134.95,131.15,131.45,3200
2024-05-02,131.5,135.45,131.45,133.45,12000
2024-05-03,135,136,132.2,132.2,6400
2024-05-06,132.2,132.9,127.7,129.2,23200
2024-05-07,130,130,126,127,6400
2024-05-08,127,127,124.1,125.55,2400
2024-05-09,124,127,121.15,121.65,10400
2024-05-10,122,125,119.05,120.85,14400
2024-05-13,118,123,118,123,5600
2024-05-14,124,125.4,124,125.4,2400
2024-05-15,123,124,123,123.05,9600
2024-05-16,124,124,121,124,4800
2024-05-17,123.95,125,123.95,125,4800
2024-05-18,125,126,125,126,1600
2024-05-21,127,137,127,136.15,53600
2024-05-22,133,136,132,133.35,14400
2024-05-23,133.9,135,132,132,6400
2024-05-24,135.75,138,131.3,137.95,20000
2024-05-27,138,138,133,134.95,10400
2024-05-28,134.15,134.65,133.1,133.15,9600
2024-05-29,133.25,145.9,133.05,141.7,52800
2024-05-30,141,141,133.25,135.35,18400
2024-05-31,136,136,131.05,131.15,22400
2024-06-03,133.8,139,127.5,127.85,23200
2024-06-04,125,127,113,123.9,33600
2024-06-05,119.1,132,119.1,126.6,14400
2024-06-06,130,132.3,127,130,3200
2024-06-07,127,132.9,125.05,132.45,9600
2024-06-10,133,133,127.05,128.5,6400
2024-06-11,129.95,130,126,127.35,12000
2024-06-12,130,130,128.5,128.7,4000
2024-06-13,131.85,153.65,131.85,148.3,128000
2024-06-14,145,145,137.9,139.05,12800
2024-06-18,141,150,141,144.95,50400
2024-06-19,146,148.5,144,144,19200
2024-06-20,142.25,168,142.25,163.55,188000
2024-06-21,165,167,157.05,160,44800
2024-06-24,161,180,161,177.5,181600
2024-06-25,181,186.1,180,184,145600
2024-06-26,187.45,199,184,185.95,143200
2024-06-27,187,189.9,178.1,179.9,63200
2024-06-28,183,185,176,177.75,47200
2024-07-01,184.9,205.85,184.9,203.95,207200
2024-07-02,207,232.9,205.85,221.3,204000
2024-07-03,229.95,243.4,229,243.4,160800
2024-07-04,262.9,267.7,244,267.7,528800
2024-07-05,277.95,293.6,273,283.75,264000
2024-07-08,296.8,296.8,269.6,269.6,68800
2024-07-09,262.1,275.45,256.15,266.15,93600
2024-07-10,258.15,265,252.85,252.85,42400
2024-07-11,252,252,240.2,240.2,55200
2024-07-12,245.3,252.2,240.05,249.75,38400
2024-07-15,260.85,262.2,255.05,262.2,24000
2024-07-16,265.05,270,253.5,257.55,30400
2024-07-18,247,252,244.7,250.15,35200
2024-07-19,253,256,238.05,241.15,18400
2024-07-22,237,242,235,240,17600
2024-07-23,240,242,235,235,2400
2024-07-24,241.5,246.75,241.5,246,29600
2024-07-25,242.5,245.95,238,243,11200
2024-07-26,240,248,239,247,13600
2024-07-29,252,258,251,256,27200
2024-07-30,260,260,249,251,8800
2024-07-31,240,250,240,250,5600
2024-08-01,245,246,238,238.65,8000
2024-08-02,238.65,246,238,245,4000
2024-08-05,233,238.5,232.8,233,6400
2024-08-06,235,235,221.35,222.15,23200
2024-08-07,218,220,211.05,216.5,23200
2024-08-08,220,227.3,220,225.95,30400
2024-08-09,236.95,237.2,232.7,237.2,22400
2024-08-12,235,235,225.35,225.35,49600
2024-08-13,221,222,214.1,221,106400
2024-08-14,224,224,221,221,2400
2024-08-16,225.9,225.9,212.1,212.4,4800
2024-08-19,219,223,219,223,29600
2024-08-20,234.15,234.15,231.3,234.15,15200
2024-08-21,245.85,245.85,245.85,245.85,8000
2024-08-22,258.1,258.1,234.35,255.7,127200
2024-08-23,254.7,254.9,246.25,246.25,19200
2024-08-26,254.9,258,250,250.55,38400
2024-08-27,245.6,263,239.5,255.35,42400
2024-08-28,250.1,254,244,244.65,16800
2024-08-29,243.85,251,243.85,245.65,35200
2024-08-30,240,245,239,245,4000
2024-09-02,237,242,234,240.5,24800
2024-09-03,235.05,235.05,229,230.2,16800
2024-09-04,219,233.1,219,230,8800
2024-09-05,225.05,241.5,222,239.75,23200
2024-09-06,245,248,238,240.6,47200
2024-09-09,234,239.9,234,234.5,5600
2024-09-10,238.5,240,235,235,4800
2024-09-11,231,232,226.05,226.05,6400
2024-09-12,235,237.35,235,237.35,12800
2024-09-13,244,249.2,244,249.2,30400
2024-09-16,261.65,261.65,260,261.65,68800
2024-09-17,269,274.7,263,273.2,128000
2024-09-18,286.85,286.85,269.5,281.75,81600
2024-09-19,281,281,269.15,273.35,42400
2024-09-20,279.6,279.6,268.3,271.3,20000
2024-09-23,275,283.85,265.35,278.15,116000
2024-09-24,282.7,282.7,270,273.9,26400
2024-09-25,276,276,270,271.1,11200
2024-09-26,271.1,273.5,265,265,15200
2024-09-27,269.95,270,264.1,265.55,17600
2024-09-30,269.4,269.4,264.1,264.95,43200
2024-10-01,267.4,267.4,261,261,4800
2024-10-03,250.1,274.05,250.1,273.3,79200
