Date,Open,High,Low,Close,Volume
2003-09-05,13.55,13.65,13.06,13.24,16025
2003-09-08,13.59,13.8,13.35,13.53,23771
2003-09-09,13.65,13.76,13.3,13.39,20298
2003-09-10,13.21,13.33,12.9,13.05,10524
2003-09-11,12.85,13.5,12.85,13.24,8458
2003-09-12,13.2,13.96,13.2,13.32,16933
2003-09-15,12.82,13.2,12.75,12.81,8818
2003-09-16,13.28,13.28,12.5,12.79,12917
2003-09-17,13.23,13.3,12.84,13.15,9689
2003-09-18,12.69,12.89,12.4,12.44,7488
2003-09-19,12.51,13.18,12.5,13.09,15305
2003-09-22,13,13.6,13,13.39,13496
2003-09-23,13.4,14.1,13.3,13.97,31226
2003-09-24,14,14,13.6,13.91,17331
2003-09-25,13.63,13.94,13.63,13.88,38358
2003-09-26,13.41,13.95,13.41,13.7,8037
2003-09-29,13.55,14.04,13.53,13.99,14372
2003-09-30,14.28,16.37,14,15.5,227453
2003-10-01,15.5,15.6,14.8,14.95,22792
2003-10-03,15.21,15.39,14.99,15.23,16015
2003-10-06,14.7,15.4,14.7,15.17,27871
2003-10-07,15.25,15.5,14.6,14.72,18104
2003-10-08,14.95,15.13,14.62,14.81,12407
2003-10-09,15.09,15.38,14.9,14.97,11455
2003-10-10,14.3,15.19,14.3,15.04,8940
2003-10-13,15,15.1,14.61,14.99,6501
2003-10-14,15,15.2,14.8,15.1,12945
2003-10-15,14.9,15.03,14.6,14.9,6146
2003-10-16,15,15.4,14.81,15.19,5995
2003-10-17,15.2,15.6,14.69,15.02,22905
2003-10-20,15.45,15.49,14.78,15.01,53174
2003-10-21,14.99,15.2,14.7,14.88,17320
2003-10-22,14.8,15,14,14.01,16281
2003-10-23,14.2,14.38,14,14.09,3099
2003-10-24,14.1,15,14.1,14.51,9582
2003-10-25,14.51,14.92,14.51,14.61,721
2003-10-27,14.5,14.53,14.3,14.32,2809
2003-10-28,14.06,14.3,13.9,14.1,3667
2003-10-29,14,14.1,13.88,13.93,2151
2003-10-30,13.64,13.99,13.62,13.83,2685
2003-10-31,13.95,14.2,13.85,13.99,2485
2003-11-03,14.6,14.6,13.91,14.01,4260
2003-11-04,13.5,14,13.5,13.98,13978
2003-11-05,14.9,14.9,13.4,13.5,13838
2003-11-06,13.5,15.2,13.5,15.02,43200
2003-11-07,14.62,15.13,14.62,14.88,38947
2003-11-10,14.9,16.88,14.9,16.06,8632
2003-11-11,15.5,16.65,15.5,16.03,25180
2003-11-12,15.5,16.63,15.5,16.48,22038
2003-11-13,16.15,16.15,15.57,15.61,8300
2003-11-14,15.42,15.55,14.8,15.15,5955
2003-11-15,14.62,15.5,14.62,15.05,580
2003-11-17,15.99,15.99,15.15,15.66,7633
2003-11-18,17.4,17.4,15.55,15.76,5231
2003-11-19,15.69,16.35,15.33,16.1,26811
2003-11-20,16.1,16.6,15.95,16.11,33099
2003-11-21,15.51,16.5,15.51,16.34,14768
2003-11-24,16.35,17.2,16.06,16.88,81615
2003-11-25,16.71,17.77,16.71,17.42,30559
2003-11-27,17.65,18,17.4,17.4,20718
2003-11-28,17.4,17.8,17.21,17.52,21520
2003-12-01,17.2,18.41,17.2,18.01,28280
2003-12-02,18.19,18.19,17.21,17.54,9991
2003-12-03,16.5,17.69,16.5,17.35,5729
2003-12-04,17.5,19.7,17.31,19.15,37547
2003-12-05,19.24,20,18.51,19.44,42099
2003-12-08,19.4,20,19,19.76,21355
2003-12-09,19.85,20.5,19.55,19.92,13736
2003-12-10,20.3,20.5,19.5,19.56,8573
2003-12-11,19.89,20,19.1,19.18,7372
2003-12-12,19.54,22,19,21.49,46967
2003-12-15,21,22.49,21,22.09,17104
2003-12-16,21,24.49,21,23.03,92895
2003-12-17,23.1,25.4,22.6,23.2,51495
2003-12-18,24,24.9,23.5,24.61,39725
2003-12-19,24.95,25.19,23.61,24.06,21303
2003-12-22,21.89,28.2,21.89,26.93,65449
2003-12-23,27.77,27.77,25.27,25.86,52136
2003-12-24,25.6,27.74,23.4,26.74,141743
2003-12-26,22.5,24.49,22.01,23.96,96841
2003-12-29,24.6,24.89,23.4,23.6,38474
2003-12-30,23.6,24.4,22.8,22.88,22761
2003-12-31,22,22.55,21.53,21.86,27741
2004-01-01,22.45,22.47,21.89,21.95,8933
2004-01-02,22.5,22.5,21.13,21.37,23276
2004-01-05,22.49,22.49,21.01,21.22,11196
2004-01-06,21.1,21.48,19.88,20.09,42828
2004-01-07,20,20.45,19.01,19.47,22998
2004-01-08,22.5,22.5,19,19.32,35734
2004-01-09,19.5,19.99,19.15,19.36,41806
2004-01-12,19,19.75,18.9,19.04,20918
2004-01-13,18.9,19.1,18.31,18.87,25346
2004-01-14,18.72,19.4,18.42,18.54,7053
2004-01-15,18.98,18.99,17.52,17.92,16051
2004-01-16,18,21.19,17,19.07,49994
2004-01-19,21,21,18.73,20.58,54082
2004-01-20,20.6,20.8,19,19.25,29505
2004-01-21,19.25,19.55,16.4,16.81,11202
2004-01-22,17,17.5,16,16.01,8956
2004-01-23,17.4,17.4,16,16.69,13423
2004-01-27,17.6,19.2,17.21,18.83,17351
2004-01-28,20.8,20.8,17.8,18.14,8837
2004-01-29,18.2,18.39,17.8,17.89,2133
2004-01-30,17.8,18,17.3,17.52,5533
2004-02-03,17.7,17.7,16.2,16.48,3283
2004-02-04,16.62,16.9,16.25,16.65,3092
2004-02-05,16.63,17.1,16.63,16.82,3100
2004-02-06,16.7,17.38,16.6,17.15,4568
2004-02-09,16.5,17.9,16.5,17.75,54007
2004-02-10,16.7,18.1,16.7,17.71,1904
2004-02-11,17.8,17.85,17.36,17.66,664
2004-02-12,17.55,18.19,17.5,18.02,4156
2004-02-13,17.45,19,17.45,18.85,6215
2004-02-16,18.8,20,18.11,19.17,39090
2004-02-17,19.6,19.7,19.01,19.46,15925
2004-02-18,19.5,19.53,19.33,19.41,5025
2004-02-19,19.5,19.6,18.85,19.02,20215
2004-02-20,17.62,19.5,17.62,19.1,10610
2004-02-23,19.2,19.4,19.2,19.33,6910
2004-02-24,18.5,19.4,18.5,19,4028
2004-02-25,18.3,19.45,18.3,19.28,7609
2004-02-26,19.3,20.4,19.03,19.76,139722
2004-02-27,19.5,19.8,19.44,19.7,21750
2004-03-01,19.77,20,19.6,19.87,8273
2004-03-03,20,20.4,19.5,19.97,6562
2004-03-04,19.7,20.1,19.7,19.88,25074
2004-03-05,20.28,21.5,20.28,21.37,65124
2004-03-08,20.61,21.5,20.61,21.04,10205
2004-03-09,20.87,21.14,20.2,20.65,2218
2004-03-10,21,21,19.98,20.11,2821
2004-03-11,20,20.1,19.7,19.77,2305
2004-03-12,19.88,19.89,19.2,19.45,6280
2004-03-15,21,21,19.15,19.33,3416
2004-03-16,19.95,19.95,19,19.11,5641
2004-03-17,19.16,19.5,19.02,19.45,1680
2004-03-18,20,20.09,19.18,19.43,2448
2004-03-19,18.6,20.05,18.6,19.81,3565
2004-03-22,18.85,20.29,18.85,20.1,54011
2004-03-23,20.01,20.01,19.5,19.7,2272
2004-03-24,19.52,19.52,19,19.03,3993
2004-03-25,19.14,19.2,18.6,18.82,2216
2004-03-26,21.14,21.14,18.7,18.9,1264
2004-03-29,19,19.5,18.9,19.2,5667
2004-03-30,19.31,19.5,18.99,19.13,5652
2004-03-31,19.11,20.39,19.11,20,17784
2004-04-01,19.85,20.1,19.4,20.01,1693
2004-04-02,19.8,19.87,19.52,19.68,1675
2004-04-05,20,20.5,20,20.1,13005
2004-04-06,20.5,20.65,19.1,20.09,1960
2004-04-07,20,20.83,19.6,20.7,6077
2004-04-08,20.93,22.83,20.47,21.88,33872
2004-04-12,22.22,24.4,22.1,23.73,32717
2004-04-13,24.2,24.2,22.51,23.9,8667
2004-04-15,22.51,24.8,22.5,24.46,21402
2004-04-16,24.55,25.11,24.21,24.61,12699
2004-04-17,24,24.95,24,24.8,1773
2004-04-19,25.5,25.5,23.71,24.58,14115
2004-04-20,25.42,25.42,23.9,24.99,17665
2004-04-21,24.99,25.6,24.99,25.46,50795
2004-04-22,25.77,26.5,25.63,26,38971
2004-04-23,25.98,26,24.7,25.79,10880
2004-04-27,24.52,24.8,23.3,24.28,33215
2004-04-28,23,25.6,22.25,24.84,6509
2004-04-29,24.6,25.3,23.83,24.35,4926
2004-04-30,24.61,26.5,24.61,25.78,31652
2004-05-03,24.5,25.9,24.03,24.37,9946
2004-05-04,25.1,25.36,24.81,25.11,6147
2004-05-05,25.9,26.01,24.73,24.96,27273
2004-05-06,23.11,25.35,23.11,24.08,13802
2004-05-07,24.3,24.39,23.6,23.78,5033
2004-05-10,26.15,26.15,23.7,23.88,11696
2004-05-11,24,24,22.83,22.96,7636
2004-05-12,22.43,23.73,22.43,23.34,14461
2004-05-13,23.7,24,22,23.45,21310
2004-05-14,23.58,23.58,20.73,20.96,8112
2004-05-17,19.5,19.8,17.25,17.79,27804
2004-05-18,17.5,19.8,17.5,19.36,5657
2004-05-19,20.5,20.5,18.5,19.58,9159
2004-05-20,21,21,19.55,20.36,3351
2004-05-21,19.6,20.2,19.23,20.06,2125
2004-05-24,20.01,21.31,20.01,21.15,2702
2004-05-25,21,21.79,20.81,21.46,1785
2004-05-26,21.5,22.89,21.5,22.79,9205
2004-05-27,22.5,22.74,22,22.63,10044
2004-05-28,21.72,22.2,20.12,20.33,20442
2004-05-31,20.26,21.18,19.36,20.73,20404
2004-06-01,21.5,21.58,20.3,20.88,5867
2004-06-02,23.49,23.49,20,20.3,6071
2004-06-03,20.1,21.17,19.5,19.64,8101
2004-06-04,19.38,19.9,19.03,19.8,4214
2004-06-07,20.17,20.5,19.83,20.04,2355
2004-06-08,19.9,20.2,19.55,19.66,2669
2004-06-09,19.9,20.64,19.86,20.1,6844
2004-06-10,20.3,20.66,20.21,20.26,5729
2004-06-11,20.61,20.77,20.3,20.45,8950
2004-06-14,20,20.25,19.21,19.96,5085
2004-06-15,20.18,20.18,18.03,18.4,15559
2004-06-16,19.1,19.2,18.5,18.58,25424
2004-06-17,18.31,18.9,18.3,18.53,25129
2004-06-18,18.88,18.88,18.08,18.21,17961
2004-06-21,18.3,18.5,17.65,17.85,13166
2004-06-22,17.65,19.4,17.3,17.92,16891
2004-06-23,16.5,17.9,16.5,17.84,3312
2004-06-24,18,18.5,17.2,17.69,4455
2004-06-25,17.99,17.99,17.78,17.9,2393
2004-06-28,17.5,18.55,17.5,18.49,52921
2004-06-29,18.55,19.9,18.55,19.07,12717
2004-06-30,19.3,19.3,19,19.29,11805
2004-07-01,19.4,19.5,19.2,19.49,3223
2004-07-02,19.69,19.7,19.5,19.52,3683
2004-07-05,19.63,20.3,19.5,19.88,10016
2004-07-06,20,20,19.76,19.94,4985
2004-07-07,18.4,20.5,18.4,20.21,22364
2004-07-08,20.47,20.9,20,20.05,17314
2004-07-09,20.08,20.5,19.6,20.43,4167
2004-07-12,20.5,21.2,20.26,21.06,14910
2004-07-13,20.81,21.44,20.81,21.18,14926
2004-07-14,20.51,20.8,20.3,20.41,16155
